"appid","max_discount","has_discount","first_discount_date"
"203160",100,TRUE,"2019-06-21"
"231430",100,TRUE,"2019-05-07"
"242700",100,TRUE,"2019-05-20"
"282800",100,TRUE,"2019-04-29"
"34330",100,TRUE,"2019-06-25"
"442070",100,TRUE,"2019-06-25"
"582660",100,TRUE,"2019-05-24"
"588210",100,TRUE,"2019-06-25"
"640590",100,TRUE,"2019-04-18"
"214490",95,TRUE,"2019-04-25"
"71340",95,TRUE,"2019-04-29"
"10",90,TRUE,"2019-06-25"
"100",90,TRUE,"2019-06-25"
"108710",90,TRUE,"2019-05-16"
"113020",90,TRUE,"2019-06-25"
"12320",90,TRUE,"2019-05-20"
"130",90,TRUE,"2019-06-25"
"17410",90,TRUE,"2019-06-25"
"20",90,TRUE,"2019-06-25"
"208140",90,TRUE,"2019-04-07"
"209080",90,TRUE,"2019-05-27"
"213670",90,TRUE,"2019-05-06"
"214170",90,TRUE,"2019-05-03"
"214340",90,TRUE,"2019-04-25"
"215530",90,TRUE,"2019-06-04"
"218510",90,TRUE,"2019-05-20"
"218620",90,TRUE,"2019-05-09"
"218640",90,TRUE,"2019-04-07"
"219780",90,TRUE,"2019-06-06"
"220",90,TRUE,"2019-06-25"
"220740",90,TRUE,"2019-04-07"
"222730",90,TRUE,"2019-06-04"
"223470",90,TRUE,"2019-04-22"
"224900",90,TRUE,"2019-05-20"
"232050",90,TRUE,"2019-04-18"
"232890",90,TRUE,"2019-04-07"
"233290",90,TRUE,"2019-06-21"
"240",90,TRUE,"2019-06-25"
"242640",90,TRUE,"2019-06-25"
"242680",90,TRUE,"2020-03-17"
"243470",90,TRUE,"2019-05-27"
"243950",90,TRUE,"2019-05-03"
"244160",90,TRUE,"2019-06-25"
"247020",90,TRUE,"2019-04-29"
"249590",90,TRUE,"2019-06-25"
"249650",90,TRUE,"2019-04-07"
"250400",90,TRUE,"2019-04-22"
"259340",90,TRUE,"2019-05-20"
"263760",90,TRUE,"2019-06-25"
"268400",90,TRUE,"2019-06-25"
"269210",90,TRUE,"2019-06-25"
"269330",90,TRUE,"2019-04-15"
"280",90,TRUE,"2019-06-28"
"281610",90,TRUE,"2019-06-25"
"281640",90,TRUE,"2019-05-16"
"282140",90,TRUE,"2019-04-20"
"284950",90,TRUE,"2019-05-27"
"285010",90,TRUE,"2019-05-06"
"286000",90,TRUE,"2019-06-08"
"288160",90,TRUE,"2019-06-25"
